Component,Sub-component,Variable,Measure,Country,ISO Code,Year,Value
Context,Epidemiological,deaths,Lower Bound,Antigua and Barbuda,ATG,2020,39
Context,Epidemiological,deaths,Lower Bound,Australia,AUS,2020,25555
Context,Epidemiological,deaths,Lower Bound,Bahamas,BHS,2020,95
Context,Epidemiological,deaths,Lower Bound,Bangladesh,BGD,2020,41934
Context,Epidemiological,deaths,Lower Bound,Barbados,BRB,2020,139
Context,Epidemiological,deaths,Lower Bound,Botswana,BWA,2020,478
Context,Epidemiological,deaths,Lower Bound,Belize,BLZ,2020,57
Context,Epidemiological,deaths,Lower Bound,Solomon Islands,SLB,2020,127
Context,Epidemiological,deaths,Lower Bound,Brunei Darussalam,BRN,2020,178
Context,Epidemiological,deaths,Lower Bound,Cameroon,CMR,2020,6532
Context,Epidemiological,deaths,Lower Bound,Canada,CAN,2020,41798
Context,Epidemiological,deaths,Lower Bound,Sri Lanka,LKA,2020,8026
Context,Epidemiological,deaths,Lower Bound,Cyprus,CYP,2020,802
Context,Epidemiological,deaths,Lower Bound,Dominica,DMA,2020,36
Context,Epidemiological,deaths,Lower Bound,Fiji,FJI,2020,368
Context,Epidemiological,deaths,Lower Bound,Gabon,GAB,2020,363
Context,Epidemiological,deaths,Lower Bound,Gambia,GMB,2020,553
Context,Epidemiological,deaths,Lower Bound,Ghana,GHA,2020,8773
Context,Epidemiological,deaths,Lower Bound,Kiribati,KIR,2020,59
Context,Epidemiological,deaths,Lower Bound,Grenada,GRD,2020,65
Context,Epidemiological,deaths,Lower Bound,Guyana,GUY,2020,153
Context,Epidemiological,deaths,Lower Bound,India,IND,2020,395713
Context,Epidemiological,deaths,Lower Bound,Jamaica,JAM,2020,1318
Context,Epidemiological,deaths,Lower Bound,Kenya,KEN,2020,14444
Context,Epidemiological,deaths,Lower Bound,Lesotho,LSO,2020,621
Context,Epidemiological,deaths,Lower Bound,Malawi,MWI,2020,5985
Context,Epidemiological,deaths,Lower Bound,Malaysia,MYS,2020,13509
Context,Epidemiological,deaths,Lower Bound,Maldives,MDV,2020,98
Context,Epidemiological,deaths,Lower Bound,Malta,MLT,2020,450
Context,Epidemiological,deaths,Lower Bound,Mauritius,MUS,2020,672
Context,Epidemiological,deaths,Lower Bound,Mozambique,MOZ,2020,8793
Context,Epidemiological,deaths,Lower Bound,Namibia,NAM,2020,784
Context,Epidemiological,deaths,Lower Bound,Nauru,NRU,2020,1
Context,Epidemiological,deaths,Lower Bound,Vanuatu,VUT,2020,25
Context,Epidemiological,deaths,Lower Bound,New Zealand,NZL,2020,4387
Context,Epidemiological,deaths,Lower Bound,Nigeria,NGA,2020,45945
Context,Epidemiological,deaths,Lower Bound,Pakistan,PAK,2020,44358
Context,Epidemiological,deaths,Lower Bound,Papua New Guinea,PNG,2020,2056
Context,Epidemiological,deaths,Lower Bound,Rwanda,RWA,2020,3188
Context,Epidemiological,deaths,Lower Bound,Saint Kitts and Nevis,KNA,2020,17
Context,Epidemiological,deaths,Lower Bound,Saint Lucia,LCA,2020,53
Context,Epidemiological,deaths,Lower Bound,Saint Vincent and the Grenadines,VCT,2020,64
Context,Epidemiological,deaths,Lower Bound,Seychelles,SYC,2020,26
Context,Epidemiological,deaths,Lower Bound,Sierra Leone,SLE,2020,2570
Context,Epidemiological,deaths,Lower Bound,Singapore,SGP,2020,5875
Context,Epidemiological,deaths,Lower Bound,South Africa,ZAF,2020,34595
Context,Epidemiological,deaths,Lower Bound,Eswatini,SWZ,2020,426
Context,Epidemiological,deaths,Lower Bound,Togo,TGO,2020,1771
Context,Epidemiological,deaths,Lower Bound,Tonga,TON,2020,52
Context,Epidemiological,deaths,Lower Bound,Trinidad and Tobago,TTO,2020,582
Context,Epidemiological,deaths,Lower Bound,Tuvalu,TUV,2020,4
Context,Epidemiological,deaths,Lower Bound,Uganda,UGA,2020,11786
Context,Epidemiological,deaths,Lower Bound,United Kingdom,GBR,2020,101364
Context,Epidemiological,deaths,Lower Bound,United Republic of Tanzania,TZA,2020,19956
Context,Epidemiological,deaths,Lower Bound,Samoa,WSM,2020,92
Context,Epidemiological,deaths,Lower Bound,Zambia,ZMB,2020,3823
Context,Epidemiological,deaths,Mean,Antigua and Barbuda,ATG,2020,57.469
Context,Epidemiological,deaths,Mean,Australia,AUS,2020,28605.819
Context,Epidemiological,deaths,Mean,Bahamas,BHS,2020,226.623
Context,Epidemiological,deaths,Mean,Bangladesh,BGD,2020,67106.138
Context,Epidemiological,deaths,Mean,Barbados,BRB,2020,289.618
Context,Epidemiological,deaths,Mean,Botswana,BWA,2020,816.232
Context,Epidemiological,deaths,Mean,Belize,BLZ,2020,154.197
Context,Epidemiological,deaths,Mean,Solomon Islands,SLB,2020,445.586
Context,Epidemiological,deaths,Mean,Brunei Darussalam,BRN,2020,306.506
Context,Epidemiological,deaths,Mean,Cameroon,CMR,2020,10954.493
Context,Epidemiological,deaths,Mean,Canada,CAN,2020,45650.732
Context,Epidemiological,deaths,Mean,Sri Lanka,LKA,2020,10672.161
Context,Epidemiological,deaths,Mean,Cyprus,CYP,2020,1117.029
Context,Epidemiological,deaths,Mean,Dominica,DMA,2020,53.362
Context,Epidemiological,deaths,Mean,Fiji,FJI,2020,659.168
Context,Epidemiological,deaths,Mean,Gabon,GAB,2020,908.849
Context,Epidemiological,deaths,Mean,Gambia,GMB,2020,940.152
Context,Epidemiological,deaths,Mean,Ghana,GHA,2020,14478.604
Context,Epidemiological,deaths,Mean,Kiribati,KIR,2020,91.14
Context,Epidemiological,deaths,Mean,Grenada,GRD,2020,91.786
Context,Epidemiological,deaths,Mean,Guyana,GUY,2020,329.291
Context,Epidemiological,deaths,Mean,India,IND,2020,505693.133
Context,Epidemiological,deaths,Mean,Jamaica,JAM,2020,1833.036
Context,Epidemiological,deaths,Mean,Kenya,KEN,2020,20191.319
Context,Epidemiological,deaths,Mean,Lesotho,LSO,2020,1137.58
Context,Epidemiological,deaths,Mean,Malawi,MWI,2020,9426.204
Context,Epidemiological,deaths,Mean,Malaysia,MYS,2020,15379.666
Context,Epidemiological,deaths,Mean,Maldives,MDV,2020,173.305
Context,Epidemiological,deaths,Mean,Malta,MLT,2020,672.043
Context,Epidemiological,deaths,Mean,Mauritius,MUS,2020,991.552
Context,Epidemiological,deaths,Mean,Mozambique,MOZ,2020,12225.465
Context,Epidemiological,deaths,Mean,Namibia,NAM,2020,1220.197
Context,Epidemiological,deaths,Mean,Nauru,NRU,2020,5.383
Context,Epidemiological,deaths,Mean,Vanuatu,VUT,2020,231.484
Context,Epidemiological,deaths,Mean,New Zealand,NZL,2020,5452.373
Context,Epidemiological,deaths,Mean,Nigeria,NGA,2020,63361.895
Context,Epidemiological,deaths,Mean,Pakistan,PAK,2020,61729.666
Context,Epidemiological,deaths,Mean,Papua New Guinea,PNG,2020,7669.366
Context,Epidemiological,deaths,Mean,Rwanda,RWA,2020,5360.295
Context,Epidemiological,deaths,Mean,Saint Kitts and Nevis,KNA,2020,28.859
Context,Epidemiological,deaths,Mean,Saint Lucia,LCA,2020,142.445
Context,Epidemiological,deaths,Mean,Saint Vincent and the Grenadines,VCT,2020,91.261
Context,Epidemiological,deaths,Mean,Seychelles,SYC,2020,48.721
Context,Epidemiological,deaths,Mean,Sierra Leone,SLE,2020,3011.463
Context,Epidemiological,deaths,Mean,Singapore,SGP,2020,7181.342
Context,Epidemiological,deaths,Mean,South Africa,ZAF,2020,47275.187
Context,Epidemiological,deaths,Mean,Eswatini,SWZ,2020,623.506
Context,Epidemiological,deaths,Mean,Togo,TGO,2020,3228.049
Context,Epidemiological,deaths,Mean,Tonga,TON,2020,117.749
Context,Epidemiological,deaths,Mean,Trinidad and Tobago,TTO,2020,916.667
Context,Epidemiological,deaths,Mean,Tuvalu,TUV,2020,12.938
Context,Epidemiological,deaths,Mean,Uganda,UGA,2020,15067.49
Context,Epidemiological,deaths,Mean,United Kingdom,GBR,2020,107339.005
Context,Epidemiological,deaths,Mean,United Republic of Tanzania,TZA,2020,26139.282
Context,Epidemiological,deaths,Mean,Samoa,WSM,2020,204.164
Context,Epidemiological,deaths,Mean,Zambia,ZMB,2020,5736.085
Context,Epidemiological,deaths,Upper Bound,Antigua and Barbuda,ATG,2020,80
Context,Epidemiological,deaths,Upper Bound,Australia,AUS,2020,32380
Context,Epidemiological,deaths,Upper Bound,Bahamas,BHS,2020,441
Context,Epidemiological,deaths,Upper Bound,Bangladesh,BGD,2020,101684
Context,Epidemiological,deaths,Upper Bound,Barbados,BRB,2020,501
Context,Epidemiological,deaths,Upper Bound,Botswana,BWA,2020,1265
Context,Epidemiological,deaths,Upper Bound,Belize,BLZ,2020,336
Context,Epidemiological,deaths,Upper Bound,Solomon Islands,SLB,2020,1121
Context,Epidemiological,deaths,Upper Bound,Brunei Darussalam,BRN,2020,493
Context,Epidemiological,deaths,Upper Bound,Cameroon,CMR,2020,17566
Context,Epidemiological,deaths,Upper Bound,Canada,CAN,2020,49446
Context,Epidemiological,deaths,Upper Bound,Sri Lanka,LKA,2020,13022
Context,Epidemiological,deaths,Upper Bound,Cyprus,CYP,2020,1549
Context,Epidemiological,deaths,Upper Bound,Dominica,DMA,2020,72
Context,Epidemiological,deaths,Upper Bound,Fiji,FJI,2020,902
Context,Epidemiological,deaths,Upper Bound,Gabon,GAB,2020,1900
Context,Epidemiological,deaths,Upper Bound,Gambia,GMB,2020,1635
Context,Epidemiological,deaths,Upper Bound,Ghana,GHA,2020,23358
Context,Epidemiological,deaths,Upper Bound,Kiribati,KIR,2020,130
Context,Epidemiological,deaths,Upper Bound,Grenada,GRD,2020,123
Context,Epidemiological,deaths,Upper Bound,Guyana,GUY,2020,634
Context,Epidemiological,deaths,Upper Bound,India,IND,2020,623003
Context,Epidemiological,deaths,Upper Bound,Jamaica,JAM,2020,2526
Context,Epidemiological,deaths,Upper Bound,Kenya,KEN,2020,26789
Context,Epidemiological,deaths,Upper Bound,Lesotho,LSO,2020,1953
Context,Epidemiological,deaths,Upper Bound,Malawi,MWI,2020,15159
Context,Epidemiological,deaths,Upper Bound,Malaysia,MYS,2020,17386
Context,Epidemiological,deaths,Upper Bound,Maldives,MDV,2020,283
Context,Epidemiological,deaths,Upper Bound,Malta,MLT,2020,971
Context,Epidemiological,deaths,Upper Bound,Mauritius,MUS,2020,1445
Context,Epidemiological,deaths,Upper Bound,Mozambique,MOZ,2020,16709
Context,Epidemiological,deaths,Upper Bound,Namibia,NAM,2020,1644
Context,Epidemiological,deaths,Upper Bound,Nauru,NRU,2020,12
Context,Epidemiological,deaths,Upper Bound,Vanuatu,VUT,2020,805
Context,Epidemiological,deaths,Upper Bound,New Zealand,NZL,2020,6729
Context,Epidemiological,deaths,Upper Bound,Nigeria,NGA,2020,85720
Context,Epidemiological,deaths,Upper Bound,Pakistan,PAK,2020,80011
Context,Epidemiological,deaths,Upper Bound,Papua New Guinea,PNG,2020,19395
Context,Epidemiological,deaths,Upper Bound,Rwanda,RWA,2020,8638
Context,Epidemiological,deaths,Upper Bound,Saint Kitts and Nevis,KNA,2020,43
Context,Epidemiological,deaths,Upper Bound,Saint Lucia,LCA,2020,302
Context,Epidemiological,deaths,Upper Bound,Saint Vincent and the Grenadines,VCT,2020,123
Context,Epidemiological,deaths,Upper Bound,Seychelles,SYC,2020,82
Context,Epidemiological,deaths,Upper Bound,Sierra Leone,SLE,2020,3435
Context,Epidemiological,deaths,Upper Bound,Singapore,SGP,2020,8701
Context,Epidemiological,deaths,Upper Bound,South Africa,ZAF,2020,56946
Context,Epidemiological,deaths,Upper Bound,Eswatini,SWZ,2020,870
Context,Epidemiological,deaths,Upper Bound,Togo,TGO,2020,5881
Context,Epidemiological,deaths,Upper Bound,Tonga,TON,2020,220
Context,Epidemiological,deaths,Upper Bound,Trinidad and Tobago,TTO,2020,1373
Context,Epidemiological,deaths,Upper Bound,Tuvalu,TUV,2020,26
Context,Epidemiological,deaths,Upper Bound,Uganda,UGA,2020,18866
Context,Epidemiological,deaths,Upper Bound,United Kingdom,GBR,2020,113123
Context,Epidemiological,deaths,Upper Bound,United Republic of Tanzania,TZA,2020,32885
Context,Epidemiological,deaths,Upper Bound,Samoa,WSM,2020,395
Context,Epidemiological,deaths,Upper Bound,Zambia,ZMB,2020,8195
Context,Epidemiological,surv_Overall,Lower Bound,Antigua and Barbuda,ATG,2020,0.530864198
Context,Epidemiological,surv_Overall,Lower Bound,Australia,AUS,2020,0.577369173
Context,Epidemiological,surv_Overall,Lower Bound,Bahamas,BHS,2020,0.555787278
Context,Epidemiological,surv_Overall,Lower Bound,Bangladesh,BGD,2020,0.021478893
Context,Epidemiological,surv_Overall,Lower Bound,Barbados,BRB,2020,0.550096339
Context,Epidemiological,surv_Overall,Lower Bound,Botswana,BWA,2020,0.082162162
Context,Epidemiological,surv_Overall,Lower Bound,Belize,BLZ,2020,0.24796748
Context,Epidemiological,surv_Overall,Lower Bound,Solomon Islands,SLB,2020,0
Context,Epidemiological,surv_Overall,Lower Bound,Brunei Darussalam,BRN,2020,0.433395872
Context,Epidemiological,surv_Overall,Lower Bound,Cameroon,CMR,2020,0.002247774
Context,Epidemiological,surv_Overall,Lower Bound,Canada,CAN,2020,0.610413618
Context,Epidemiological,surv_Overall,Lower Bound,Sri Lanka,LKA,2020,0.027010245
Context,Epidemiological,surv_Overall,Lower Bound,Cyprus,CYP,2020,0.597608371
Context,Epidemiological,surv_Overall,Lower Bound,Dominica,DMA,2020,0.440944882
Context,Epidemiological,surv_Overall,Lower Bound,Fiji,FJI,2020,0.0449069
Context,Epidemiological,surv_Overall,Lower Bound,Gabon,GAB,2020,0.118742724
Context,Epidemiological,surv_Overall,Lower Bound,Gambia,GMB,2020,0
Context,Epidemiological,surv_Overall,Lower Bound,Ghana,GHA,2020,0.00209048
Context,Epidemiological,surv_Overall,Lower Bound,Kiribati,KIR,2020,0
