Component,Sub-component,Variable,Measure,Country,ISO Code,Year,Value
Outputs,Personal healthcare services,deaths,Lower Bound,Antigua and Barbuda,ATG,2020,39.0
Outputs,Personal healthcare services,deaths,Lower Bound,Australia,AUS,2020,25555.0
Outputs,Personal healthcare services,deaths,Lower Bound,Bahamas,BHS,2020,95.0
Outputs,Personal healthcare services,deaths,Lower Bound,Bangladesh,BGD,2020,41177.0
Outputs,Personal healthcare services,deaths,Lower Bound,Barbados,BRB,2020,139.0
Outputs,Personal healthcare services,deaths,Lower Bound,Botswana,BWA,2020,445.0
Outputs,Personal healthcare services,deaths,Lower Bound,Belize,BLZ,2020,56.0
Outputs,Personal healthcare services,deaths,Lower Bound,Solomon Islands,SLB,2020,120.0
Outputs,Personal healthcare services,deaths,Lower Bound,Brunei Darussalam,BRN,2020,177.0
Outputs,Personal healthcare services,deaths,Lower Bound,Cameroon,CMR,2020,5838.0
Outputs,Personal healthcare services,deaths,Lower Bound,Canada,CAN,2020,41798.0
Outputs,Personal healthcare services,deaths,Lower Bound,Sri Lanka,LKA,2020,7739.0
Outputs,Personal healthcare services,deaths,Lower Bound,Cyprus,CYP,2020,800.0
Outputs,Personal healthcare services,deaths,Lower Bound,Dominica,DMA,2020,35.0
Outputs,Personal healthcare services,deaths,Lower Bound,Fiji,FJI,2020,367.0
Outputs,Personal healthcare services,deaths,Lower Bound,Gabon,GAB,2020,338.0
Outputs,Personal healthcare services,deaths,Lower Bound,Gambia,GMB,2020,539.0
Outputs,Personal healthcare services,deaths,Lower Bound,Ghana,GHA,2020,8511.0
Outputs,Personal healthcare services,deaths,Lower Bound,Kiribati,KIR,2020,57.0
Outputs,Personal healthcare services,deaths,Lower Bound,Grenada,GRD,2020,64.0
Outputs,Personal healthcare services,deaths,Lower Bound,Guyana,GUY,2020,147.0
Outputs,Personal healthcare services,deaths,Lower Bound,India,IND,2020,378568.0
Outputs,Personal healthcare services,deaths,Lower Bound,Jamaica,JAM,2020,1296.0
Outputs,Personal healthcare services,deaths,Lower Bound,Kenya,KEN,2020,14141.0
Outputs,Personal healthcare services,deaths,Lower Bound,Lesotho,LSO,2020,605.0
Outputs,Personal healthcare services,deaths,Lower Bound,Malawi,MWI,2020,5906.0
Outputs,Personal healthcare services,deaths,Lower Bound,Malaysia,MYS,2020,13320.0
Outputs,Personal healthcare services,deaths,Lower Bound,Maldives,MDV,2020,97.0
Outputs,Personal healthcare services,deaths,Lower Bound,Malta,MLT,2020,446.0
Outputs,Personal healthcare services,deaths,Lower Bound,Mauritius,MUS,2020,665.0
Outputs,Personal healthcare services,deaths,Lower Bound,Mozambique,MOZ,2020,8723.0
Outputs,Personal healthcare services,deaths,Lower Bound,Namibia,NAM,2020,704.0
Outputs,Personal healthcare services,deaths,Lower Bound,Nauru,NRU,2020,1.0
Outputs,Personal healthcare services,deaths,Lower Bound,Vanuatu,VUT,2020,25.0
Outputs,Personal healthcare services,deaths,Lower Bound,New Zealand,NZL,2020,4374.0
Outputs,Personal healthcare services,deaths,Lower Bound,Nigeria,NGA,2020,44156.0
Outputs,Personal healthcare services,deaths,Lower Bound,Pakistan,PAK,2020,43302.0
Outputs,Personal healthcare services,deaths,Lower Bound,Papua New Guinea,PNG,2020,2047.0
Outputs,Personal healthcare services,deaths,Lower Bound,Rwanda,RWA,2020,3165.0
Outputs,Personal healthcare services,deaths,Lower Bound,Saint Kitts and Nevis,KNA,2020,17.0
Outputs,Personal healthcare services,deaths,Lower Bound,Saint Lucia,LCA,2020,52.0
Outputs,Personal healthcare services,deaths,Lower Bound,Saint Vincent and the Grenadines,VCT,2020,64.0
Outputs,Personal healthcare services,deaths,Lower Bound,Seychelles,SYC,2020,26.0
Outputs,Personal healthcare services,deaths,Lower Bound,Sierra Leone,SLE,2020,2520.0
Outputs,Personal healthcare services,deaths,Lower Bound,Singapore,SGP,2020,5780.0
Outputs,Personal healthcare services,deaths,Lower Bound,South Africa,ZAF,2020,31366.0
Outputs,Personal healthcare services,deaths,Lower Bound,Eswatini,SWZ,2020,414.0
Outputs,Personal healthcare services,deaths,Lower Bound,Togo,TGO,2020,1753.0
Outputs,Personal healthcare services,deaths,Lower Bound,Tonga,TON,2020,51.0
Outputs,Personal healthcare services,deaths,Lower Bound,Trinidad and Tobago,TTO,2020,582.0
Outputs,Personal healthcare services,deaths,Lower Bound,Tuvalu,TUV,2020,4.0
Outputs,Personal healthcare services,deaths,Lower Bound,Uganda,UGA,2020,11546.0
Outputs,Personal healthcare services,deaths,Lower Bound,United Kingdom,GBR,2020,101258.0
Outputs,Personal healthcare services,deaths,Lower Bound,Samoa,WSM,2020,91.0
Outputs,Personal healthcare services,deaths,Lower Bound,Zambia,ZMB,2020,3678.0
Outputs,Personal healthcare services,deaths,Mean,Antigua and Barbuda,ATG,2020,57.233
Outputs,Personal healthcare services,deaths,Mean,Australia,AUS,2020,28505.952
