Component,Sub-component,Variable,Measure,Country,ISO Code,Year,val
Context,Demographic ,Total population,Numbers,Antigua and Barbuda,ATG,2000,74912.0
Context,Demographic ,Total population,Numbers,Australia,AUS,2000,19028802.0
Context,Demographic ,Total population,Numbers,Bahamas,BHS,2000,323835.0
Context,Demographic ,Total population,Numbers,Bangladesh,BGD,2000,134544304.0
Context,Demographic ,Total population,Numbers,Barbados,BRB,2000,262063.0
Context,Demographic ,Total population,Numbers,Belize,BLZ,2000,240799.0
Context,Demographic ,Total population,Numbers,Botswana,BWA,2000,1677382.0
Context,Demographic ,Total population,Numbers,Brunei Darussalam,BRN,2000,326424.0
Context,Demographic ,Total population,Numbers,Cameroon,CMR,2000,14912631.0
Context,Demographic ,Total population,Numbers,Canada,CAN,2000,30685730.0
Context,Demographic ,Total population,Numbers,Cyprus,CYP,2000,947667.0
Context,Demographic ,Total population,Numbers,Dominica,DMA,2000,68511.0
Context,Demographic ,Total population,Numbers,Eswatini,SWZ,2000,1041414.0
Context,Demographic ,Total population,Numbers,Fiji,FJI,2000,840909.0
Context,Demographic ,Total population,Numbers,Gambia,GMB,2000,1275572.0
Context,Demographic ,Total population,Numbers,Gabon,GAB,2000,1455084.0
Context,Demographic ,Total population,Numbers,Ghana,GHA,2000,19637087.0
Context,Demographic ,Total population,Numbers,Grenada,GRD,2000,107451.0
Context,Demographic ,Total population,Numbers,Guyana,GUY,2000,764832.0
Context,Demographic ,Total population,Numbers,India,IND,2000,1057922733.0
Context,Demographic ,Total population,Numbers,Jamaica,JAM,2000,2607826.0
Context,Demographic ,Total population,Numbers,Kenya,KEN,2000,30642890.0
Context,Demographic ,Total population,Numbers,Kiribati,KIR,2000,88613.0
Context,Demographic ,Total population,Numbers,Lesotho,LSO,2000,2003913.0
Context,Demographic ,Total population,Numbers,Malawi,MWI,2000,11315942.0
Context,Demographic ,Total population,Numbers,Malaysia,MYS,2000,22967816.0
Context,Demographic ,Total population,Numbers,Maldives,MDV,2000,282019.0
Context,Demographic ,Total population,Numbers,Malta,MLT,2000,390087.0
Context,Demographic ,Total population,Numbers,Mauritius,MUS,2000,1186873.0
Context,Demographic ,Total population,Numbers,Mozambique,MOZ,2000,18129653.0
Context,Demographic ,Total population,Numbers,Namibia,NAM,2000,1818647.0
Context,Demographic ,Total population,Numbers,Nauru,NRU,2000,10168.0
Context,Demographic ,Total population,Numbers,New Zealand,NZL,2000,3857700.0
Context,Demographic ,Total population,Numbers,Nigeria,NGA,2000,126382494.0
Context,Demographic ,Total population,Numbers,Pakistan,PAK,2000,154879127.0
Context,Demographic ,Total population,Numbers,Papua New Guinea,PNG,2000,5537064.0
Context,Demographic ,Total population,Numbers,Rwanda,RWA,2000,8213931.0
Context,Demographic ,Total population,Numbers,Saint Kitts and Nevis,KNA,2000,45248.0
Context,Demographic ,Total population,Numbers,Saint Lucia,LCA,2000,158616.0
Context,Demographic ,Total population,Numbers,Saint Vincent and The Grenadines,VCT,2000,113545.0
Context,Demographic ,Total population,Numbers,Samoa,WSM,2000,181685.0
Context,Demographic ,Total population,Numbers,Seychelles,SYC,2000,81131.0
Context,Demographic ,Total population,Numbers,Sierra Leone,SLE,2000,4423611.0
Context,Demographic ,Total population,Numbers,Singapore,SGP,2000,4027887.0
Context,Demographic ,Total population,Numbers,Solomon Islands,SLB,2000,440469.0
Context,Demographic ,Total population,Numbers,South Africa,ZAF,2000,47159719.0
Context,Demographic ,Total population,Numbers,Sri Lanka,LKA,2000,19293054.0
Context,Demographic ,Total population,Numbers,Togo,TGO,2000,5140037.0
Context,Demographic ,Total population,Numbers,Tonga,TON,2000,102677.0
Context,Demographic ,Total population,Numbers,Trinidad and Tobago,TTO,2000,1319774.0
Context,Demographic ,Total population,Numbers,Tuvalu,TUV,2000,9544.0
Context,Demographic ,Total population,Numbers,Uganda,UGA,2000,24000150.0
Context,Demographic ,Total population,Numbers,United Kingdom,GBR,2000,58892514.0
Context,Demographic ,Total population,Numbers,United Republic of Tanzania,TZA,2000,34260139.0
Context,Demographic ,Total population,Numbers,Vanuatu,VUT,2000,186281.0
Context,Demographic ,Total population,Numbers,Zambia,ZMB,2000,10017631.0
Context,Demographic ,Total population,Numbers,Antigua and Barbuda,ATG,2001,76069.0
Context,Demographic ,Total population,Numbers,Australia,AUS,2001,19274701.0
Context,Demographic ,Total population,Numbers,Bahamas,BHS,2001,327836.0
Context,Demographic ,Total population,Numbers,Bangladesh,BGD,2001,136805810.0
Context,Demographic ,Total population,Numbers,Barbados,BRB,2001,262425.0
Context,Demographic ,Total population,Numbers,Belize,BLZ,2001,248379.0
Context,Demographic ,Total population,Numbers,Botswana,BWA,2001,1712254.0
Context,Demographic ,Total population,Numbers,Brunei Darussalam,BRN,2001,333345.0
Context,Demographic ,Total population,Numbers,Cameroon,CMR,2001,15309490.0
Context,Demographic ,Total population,Numbers,Canada,CAN,2001,31020855.0
Context,Demographic ,Total population,Numbers,Cyprus,CYP,2001,964127.0
Context,Demographic ,Total population,Numbers,Dominica,DMA,2001,68288.0
Context,Demographic ,Total population,Numbers,Eswatini,SWZ,2001,1051064.0
Context,Demographic ,Total population,Numbers,Fiji,FJI,2001,849596.0
Context,Demographic ,Total population,Numbers,Gambia,GMB,2001,1309589.0
Context,Demographic ,Total population,Numbers,Gabon,GAB,2001,1495011.0
Context,Demographic ,Total population,Numbers,Ghana,GHA,2001,20167069.0
Context,Demographic ,Total population,Numbers,Grenada,GRD,2001,107987.0
Context,Demographic ,Total population,Numbers,Guyana,GUY,2001,764477.0
Context,Demographic ,Total population,Numbers,India,IND,2001,1077898575.0
Context,Demographic ,Total population,Numbers,Jamaica,JAM,2001,2624403.0
Context,Demographic ,Total population,Numbers,Kenya,KEN,2001,31619170.0
Context,Demographic ,Total population,Numbers,Kiribati,KIR,2001,90335.0
Context,Demographic ,Total population,Numbers,Lesotho,LSO,2001,2000853.0
Context,Demographic ,Total population,Numbers,Malawi,MWI,2001,11593058.0
Context,Demographic ,Total population,Numbers,Malaysia,MYS,2001,23526538.0
Context,Demographic ,Total population,Numbers,Maldives,MDV,2001,286767.0
Context,Demographic ,Total population,Numbers,Malta,MLT,2001,393028.0
Context,Demographic ,Total population,Numbers,Mauritius,MUS,2001,1196287.0
Context,Demographic ,Total population,Numbers,Mozambique,MOZ,2001,18537729.0
Context,Demographic ,Total population,Numbers,Namibia,NAM,2001,1857048.0
Context,Demographic ,Total population,Numbers,Nauru,NRU,2001,10130.0
Context,Demographic ,Total population,Numbers,New Zealand,NZL,2001,3880500.0
Context,Demographic ,Total population,Numbers,Nigeria,NGA,2001,129862595.0
Context,Demographic ,Total population,Numbers,Pakistan,PAK,2001,159270907.0
Context,Demographic ,Total population,Numbers,Papua New Guinea,PNG,2001,5728435.0
Context,Demographic ,Total population,Numbers,Rwanda,RWA,2001,8287094.0
Context,Demographic ,Total population,Numbers,Saint Kitts and Nevis,KNA,2001,45761.0
Context,Demographic ,Total population,Numbers,Saint Lucia,LCA,2001,160237.0
Context,Demographic ,Total population,Numbers,Saint Vincent and The Grenadines,VCT,2001,113501.0
Context,Demographic ,Total population,Numbers,Samoa,WSM,2001,183166.0
Context,Demographic ,Total population,Numbers,Seychelles,SYC,2001,81202.0
Context,Demographic ,Total population,Numbers,Sierra Leone,SLE,2001,4692716.0
Context,Demographic ,Total population,Numbers,Singapore,SGP,2001,4138012.0
Context,Demographic ,Total population,Numbers,Solomon Islands,SLB,2001,449125.0
Context,Demographic ,Total population,Numbers,South Africa,ZAF,2001,47566800.0
Context,Demographic ,Total population,Numbers,Sri Lanka,LKA,2001,19600362.0
Context,Demographic ,Total population,Numbers,Togo,TGO,2001,5277382.0
Context,Demographic ,Total population,Numbers,Tonga,TON,2001,103288.0
Context,Demographic ,Total population,Numbers,Trinidad and Tobago,TTO,2001,1325567.0
Context,Demographic ,Total population,Numbers,Tuvalu,TUV,2001,9586.0
Context,Demographic ,Total population,Numbers,Uganda,UGA,2001,24745676.0
Context,Demographic ,Total population,Numbers,United Kingdom,GBR,2001,59119673.0
Context,Demographic ,Total population,Numbers,United Republic of Tanzania,TZA,2001,35198299.0
Context,Demographic ,Total population,Numbers,Vanuatu,VUT,2001,191031.0
Context,Demographic ,Total population,Numbers,Zambia,ZMB,2001,10325185.0
Context,Demographic ,Total population,Numbers,Antigua and Barbuda,ATG,2002,77032.0
Context,Demographic ,Total population,Numbers,Australia,AUS,2002,19495210.0
Context,Demographic ,Total population,Numbers,Bahamas,BHS,2002,331614.0
Context,Demographic ,Total population,Numbers,Bangladesh,BGD,2002,138933658.0
Context,Demographic ,Total population,Numbers,Barbados,BRB,2002,264148.0
Context,Demographic ,Total population,Numbers,Belize,BLZ,2002,256009.0
Context,Demographic ,Total population,Numbers,Botswana,BWA,2002,1744763.0
Context,Demographic ,Total population,Numbers,Brunei Darussalam,BRN,2002,340099.0
Context,Demographic ,Total population,Numbers,Cameroon,CMR,2002,15725528.0
Context,Demographic ,Total population,Numbers,Canada,CAN,2002,31359199.0
Context,Demographic ,Total population,Numbers,Cyprus,CYP,2002,981440.0
Context,Demographic ,Total population,Numbers,Dominica,DMA,2002,68367.0
Context,Demographic ,Total population,Numbers,Eswatini,SWZ,2002,1059441.0
Context,Demographic ,Total population,Numbers,Fiji,FJI,2002,858049.0
Context,Demographic ,Total population,Numbers,Gambia,GMB,2002,1345135.0
Context,Demographic ,Total population,Numbers,Gabon,GAB,2002,1535691.0
Context,Demographic ,Total population,Numbers,Ghana,GHA,2002,20729388.0
Context,Demographic ,Total population,Numbers,Grenada,GRD,2002,108404.0
Context,Demographic ,Total population,Numbers,Guyana,GUY,2002,763652.0
Context,Demographic ,Total population,Numbers,India,IND,2002,1097600380.0
Context,Demographic ,Total population,Numbers,Jamaica,JAM,2002,2640572.0
Context,Demographic ,Total population,Numbers,Kenya,KEN,2002,32629808.0
Context,Demographic ,Total population,Numbers,Kiribati,KIR,2002,92264.0
Context,Demographic ,Total population,Numbers,Lesotho,LSO,2002,1994679.0
Context,Demographic ,Total population,Numbers,Malawi,MWI,2002,11880440.0
Context,Demographic ,Total population,Numbers,Malaysia,MYS,2002,24102477.0
