,Component,Sub-component,Variable,Measure,Country,ISO Code,Year,Value
0,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Commonwealth,,,
4,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Lower-middle income,,,
5,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Upper-middle income,,,
7,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Carribean and Americas,,,
8,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Pacific,,,
9,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Asia,,,
10,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Africa,,,
11,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Europe,,,
12,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Antigua and Barbuda,ATG,,ATG
13,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Australia,AUS,,AUS
14,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Bahamas,BHS,,BHS
15,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Bangladesh,BGD,,BGD
16,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Barbados,BRB,,BRB
17,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Botswana,BWA,,BWA
18,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Belize,BLZ,,BLZ
19,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Solomon Islands,SLB,,SLB
20,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Brunei Darussalam,BRN,,BRN
21,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Cameroon,CMR,,CMR
22,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Canada,CAN,,CAN
23,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Sri Lanka,LKA,,LKA
24,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Cyprus,CYP,,CYP
25,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Dominica,DMA,,DMA
26,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Fiji,FJI,,FJI
27,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Gabon,GAB,,GAB
28,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Gambia,GMB,,GMB
29,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Ghana,GHA,,GHA
30,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Kiribati,KIR,,KIR
31,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Grenada,GRD,,GRD
32,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Guyana,GUY,,GUY
33,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,India,IND,,IND
34,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Jamaica,JAM,,JAM
35,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Kenya,KEN,,KEN
36,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Lesotho,LSO,,LSO
37,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Malawi,MWI,,MWI
38,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Malaysia,MYS,,MYS
39,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Maldives,MDV,,MDV
40,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Malta,MLT,,MLT
41,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Mauritius,MUS,,MUS
42,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Mozambique,MOZ,,MOZ
43,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Namibia,NAM,,NAM
44,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Nauru,NRU,,NRU
45,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Vanuatu,VUT,,VUT
46,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,New Zealand,NZL,,NZL
47,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Nigeria,NGA,,NGA
48,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Pakistan,PAK,,PAK
49,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Papua New Guinea,PNG,,PNG
50,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Rwanda,RWA,,RWA
51,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Saint Kitts and Nevis,KNA,,KNA
52,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Saint Lucia,LCA,,LCA
53,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Saint Vincent and the Grenadines,VCT,,VCT
54,Outputs,Personal healthcare services,Access to imaging services,Lower Bound,Seychelles,SYC,,SYC
