Component,Sub-component,Variable,Measure,Country,ISO Code,Year,Value
Service Delivery,Cancer Radiotherapy,deaths,Lower Bound,Antigua and Barbuda,ATG,2020,39.0
Service Delivery,Cancer Radiotherapy,deaths,Lower Bound,Australia,AUS,2020,25446.0
Service Delivery,Cancer Radiotherapy,deaths,Lower Bound,Bahamas,BHS,2020,95.0
Service Delivery,Cancer Radiotherapy,deaths,Lower Bound,Bangladesh,BGD,2020,38922.0
Service Delivery,Cancer Radiotherapy,deaths,Lower Bound,Barbados,BRB,2020,139.0
Service Delivery,Cancer Radiotherapy,deaths,Lower Bound,Botswana,BWA,2020,440.0
Service Delivery,Cancer Radiotherapy,deaths,Lower Bound,Belize,BLZ,2020,54.0
Service Delivery,Cancer Radiotherapy,deaths,Lower Bound,Solomon Islands,SLB,2020,112.0
Service Delivery,Cancer Radiotherapy,deaths,Lower Bound,Brunei Darussalam,BRN,2020,178.0
Service Delivery,Cancer Radiotherapy,deaths,Lower Bound,Cameroon,CMR,2020,5940.0
Service Delivery,Cancer Radiotherapy,deaths,Lower Bound,Canada,CAN,2020,41798.0
Service Delivery,Cancer Radiotherapy,deaths,Lower Bound,Sri Lanka,LKA,2020,7423.0
Service Delivery,Cancer Radiotherapy,deaths,Lower Bound,Cyprus,CYP,2020,802.0
Service Delivery,Cancer Radiotherapy,deaths,Lower Bound,Dominica,DMA,2020,35.0
Service Delivery,Cancer Radiotherapy,deaths,Lower Bound,Fiji,FJI,2020,353.0
Service Delivery,Cancer Radiotherapy,deaths,Lower Bound,Gabon,GAB,2020,358.0
Service Delivery,Cancer Radiotherapy,deaths,Lower Bound,Gambia,GMB,2020,531.0
Service Delivery,Cancer Radiotherapy,deaths,Lower Bound,Ghana,GHA,2020,8001.0
Service Delivery,Cancer Radiotherapy,deaths,Lower Bound,Kiribati,KIR,2020,53.0
Service Delivery,Cancer Radiotherapy,deaths,Lower Bound,Grenada,GRD,2020,65.0
Service Delivery,Cancer Radiotherapy,deaths,Lower Bound,Guyana,GUY,2020,153.0
Service Delivery,Cancer Radiotherapy,deaths,Lower Bound,India,IND,2020,369981.0
Service Delivery,Cancer Radiotherapy,deaths,Lower Bound,Jamaica,JAM,2020,1308.0
Service Delivery,Cancer Radiotherapy,deaths,Lower Bound,Kenya,KEN,2020,13210.0
Service Delivery,Cancer Radiotherapy,deaths,Lower Bound,Lesotho,LSO,2020,562.0
Service Delivery,Cancer Radiotherapy,deaths,Lower Bound,Malawi,MWI,2020,5556.0
Service Delivery,Cancer Radiotherapy,deaths,Lower Bound,Malaysia,MYS,2020,13470.0
Service Delivery,Cancer Radiotherapy,deaths,Lower Bound,Maldives,MDV,2020,94.0
Service Delivery,Cancer Radiotherapy,deaths,Lower Bound,Malta,MLT,2020,443.0
Service Delivery,Cancer Radiotherapy,deaths,Lower Bound,Mauritius,MUS,2020,672.0
Service Delivery,Cancer Radiotherapy,deaths,Lower Bound,Mozambique,MOZ,2020,8139.0
Service Delivery,Cancer Radiotherapy,deaths,Lower Bound,Namibia,NAM,2020,693.0
Service Delivery,Cancer Radiotherapy,deaths,Lower Bound,Nauru,NRU,2020,1.0
Service Delivery,Cancer Radiotherapy,deaths,Lower Bound,Vanuatu,VUT,2020,22.0
Service Delivery,Cancer Radiotherapy,deaths,Lower Bound,New Zealand,NZL,2020,4359.0
Service Delivery,Cancer Radiotherapy,deaths,Lower Bound,Nigeria,NGA,2020,39162.0
Service Delivery,Cancer Radiotherapy,deaths,Lower Bound,Pakistan,PAK,2020,40801.0
Service Delivery,Cancer Radiotherapy,deaths,Lower Bound,Papua New Guinea,PNG,2020,1988.0
Service Delivery,Cancer Radiotherapy,deaths,Lower Bound,Rwanda,RWA,2020,3035.0
Service Delivery,Cancer Radiotherapy,deaths,Lower Bound,Saint Kitts and Nevis,KNA,2020,17.0
Service Delivery,Cancer Radiotherapy,deaths,Lower Bound,Saint Lucia,LCA,2020,52.0
Service Delivery,Cancer Radiotherapy,deaths,Lower Bound,Saint Vincent and the Grenadines,VCT,2020,64.0
Service Delivery,Cancer Radiotherapy,deaths,Lower Bound,Seychelles,SYC,2020,26.0
Service Delivery,Cancer Radiotherapy,deaths,Lower Bound,Sierra Leone,SLE,2020,2304.0
Service Delivery,Cancer Radiotherapy,deaths,Lower Bound,Singapore,SGP,2020,5701.0
Service Delivery,Cancer Radiotherapy,deaths,Lower Bound,South Africa,ZAF,2020,32597.0
Service Delivery,Cancer Radiotherapy,deaths,Lower Bound,Eswatini,SWZ,2020,378.0
Service Delivery,Cancer Radiotherapy,deaths,Lower Bound,Togo,TGO,2020,1705.0
Service Delivery,Cancer Radiotherapy,deaths,Lower Bound,Tonga,TON,2020,46.0
Service Delivery,Cancer Radiotherapy,deaths,Lower Bound,Trinidad and Tobago,TTO,2020,582.0
Service Delivery,Cancer Radiotherapy,deaths,Lower Bound,Tuvalu,TUV,2020,3.0
Service Delivery,Cancer Radiotherapy,deaths,Lower Bound,Uganda,UGA,2020,10888.0
Service Delivery,Cancer Radiotherapy,deaths,Lower Bound,United Kingdom,GBR,2020,100163.0
Service Delivery,Cancer Radiotherapy,deaths,Lower Bound,Samoa,WSM,2020,82.0
Service Delivery,Cancer Radiotherapy,deaths,Lower Bound,Zambia,ZMB,2020,3444.0
Service Delivery,Cancer Radiotherapy,deaths,Mean,Antigua and Barbuda,ATG,2020,57.457
Service Delivery,Cancer Radiotherapy,deaths,Mean,Australia,AUS,2020,28528.833
Service Delivery,Cancer Radiotherapy,deaths,Mean,Bahamas,BHS,2020,226.418
Service Delivery,Cancer Radiotherapy,deaths,Mean,Bangladesh,BGD,2020,64917.265
Service Delivery,Cancer Radiotherapy,deaths,Mean,Barbados,BRB,2020,289.618
Service Delivery,Cancer Radiotherapy,deaths,Mean,Botswana,BWA,2020,750.749
Service Delivery,Cancer Radiotherapy,deaths,Mean,Belize,BLZ,2020,134.864
Service Delivery,Cancer Radiotherapy,deaths,Mean,Solomon Islands,SLB,2020,416.22
Service Delivery,Cancer Radiotherapy,deaths,Mean,Brunei Darussalam,BRN,2020,306.483
Service Delivery,Cancer Radiotherapy,deaths,Mean,Cameroon,CMR,2020,10508.401
Service Delivery,Cancer Radiotherapy,deaths,Mean,Canada,CAN,2020,45633.798
Service Delivery,Cancer Radiotherapy,deaths,Mean,Sri Lanka,LKA,2020,10190.839
Service Delivery,Cancer Radiotherapy,deaths,Mean,Cyprus,CYP,2020,1114.6
Service Delivery,Cancer Radiotherapy,deaths,Mean,Dominica,DMA,2020,53.28
Service Delivery,Cancer Radiotherapy,deaths,Mean,Fiji,FJI,2020,576.127
Service Delivery,Cancer Radiotherapy,deaths,Mean,Gabon,GAB,2020,873.643
Service Delivery,Cancer Radiotherapy,deaths,Mean,Gambia,GMB,2020,920.244
Service Delivery,Cancer Radiotherapy,deaths,Mean,Ghana,GHA,2020,13670.606
Service Delivery,Cancer Radiotherapy,deaths,Mean,Kiribati,KIR,2020,85.612
Service Delivery,Cancer Radiotherapy,deaths,Mean,Grenada,GRD,2020,91.664
Service Delivery,Cancer Radiotherapy,deaths,Mean,Guyana,GUY,2020,329.284
Service Delivery,Cancer Radiotherapy,deaths,Mean,India,IND,2020,482374.9
Service Delivery,Cancer Radiotherapy,deaths,Mean,Jamaica,JAM,2020,1826.301
Service Delivery,Cancer Radiotherapy,deaths,Mean,Kenya,KEN,2020,18965.623
Service Delivery,Cancer Radiotherapy,deaths,Mean,Lesotho,LSO,2020,1069.819
Service Delivery,Cancer Radiotherapy,deaths,Mean,Malawi,MWI,2020,9100.949
Service Delivery,Cancer Radiotherapy,deaths,Mean,Malaysia,MYS,2020,15377.624
Service Delivery,Cancer Radiotherapy,deaths,Mean,Maldives,MDV,2020,162.935
Service Delivery,Cancer Radiotherapy,deaths,Mean,Malta,MLT,2020,665.491
Service Delivery,Cancer Radiotherapy,deaths,Mean,Mauritius,MUS,2020,988.788
Service Delivery,Cancer Radiotherapy,deaths,Mean,Mozambique,MOZ,2020,11772.91
Service Delivery,Cancer Radiotherapy,deaths,Mean,Namibia,NAM,2020,1108.777
