Component,Sub-component,Variable,Measure,Country,ISO Code,Year,Value
Outputs,Personal healthcare services,deaths,Lower Bound,Commonwealth,,,894093
Outputs,Personal healthcare services,deaths,Lower Bound,Lower-middle income,,,584404
Outputs,Personal healthcare services,deaths,Lower Bound,Upper-middle income,,,50907
Outputs,Personal healthcare services,deaths,Lower Bound,Carribean and Americas,,,45893
Outputs,Personal healthcare services,deaths,Lower Bound,Pacific,,,34858
Outputs,Personal healthcare services,deaths,Lower Bound,Asia,,,473780
Outputs,Personal healthcare services,deaths,Lower Bound,Africa,,,194428
Outputs,Personal healthcare services,deaths,Lower Bound,Europe,,,102896
Outputs,Personal healthcare services,deaths,Lower Bound,Antigua and Barbuda,ATG,,39
Outputs,Personal healthcare services,deaths,Lower Bound,Australia,AUS,,24608
Outputs,Personal healthcare services,deaths,Lower Bound,Bahamas,BHS,,95
Outputs,Personal healthcare services,deaths,Lower Bound,Bangladesh,BGD,,37570
Outputs,Personal healthcare services,deaths,Lower Bound,Barbados,BRB,,138
Outputs,Personal healthcare services,deaths,Lower Bound,Botswana,BWA,,396
Outputs,Personal healthcare services,deaths,Lower Bound,Belize,BLZ,,57
Outputs,Personal healthcare services,deaths,Lower Bound,Solomon Islands,SLB,,118
Outputs,Personal healthcare services,deaths,Lower Bound,Brunei Darussalam,BRN,,177
Outputs,Personal healthcare services,deaths,Lower Bound,Cameroon,CMR,,6039
Outputs,Personal healthcare services,deaths,Lower Bound,Canada,CAN,,41748
Outputs,Personal healthcare services,deaths,Lower Bound,Sri Lanka,LKA,,7269
Outputs,Personal healthcare services,deaths,Lower Bound,Cyprus,CYP,,802
Outputs,Personal healthcare services,deaths,Lower Bound,Dominica,DMA,,35
Outputs,Personal healthcare services,deaths,Lower Bound,Fiji,FJI,,361
Outputs,Personal healthcare services,deaths,Lower Bound,Gabon,GAB,,356
Outputs,Personal healthcare services,deaths,Lower Bound,Gambia,GMB,,546
Outputs,Personal healthcare services,deaths,Lower Bound,Ghana,GHA,,8024
Outputs,Personal healthcare services,deaths,Lower Bound,Kiribati,KIR,,55
Outputs,Personal healthcare services,deaths,Lower Bound,Grenada,GRD,,64
Outputs,Personal healthcare services,deaths,Lower Bound,Guyana,GUY,,153
Outputs,Personal healthcare services,deaths,Lower Bound,India,IND,,349460
Outputs,Personal healthcare services,deaths,Lower Bound,Jamaica,JAM,,1287
Outputs,Personal healthcare services,deaths,Lower Bound,Kenya,KEN,,12535
Outputs,Personal healthcare services,deaths,Lower Bound,Lesotho,LSO,,562
Outputs,Personal healthcare services,deaths,Lower Bound,Malawi,MWI,,5775
Outputs,Personal healthcare services,deaths,Lower Bound,Malaysia,MYS,,13249
Outputs,Personal healthcare services,deaths,Lower Bound,Maldives,MDV,,95
Outputs,Personal healthcare services,deaths,Lower Bound,Malta,MLT,,447
Outputs,Personal healthcare services,deaths,Lower Bound,Mauritius,MUS,,651
Outputs,Personal healthcare services,deaths,Lower Bound,Mozambique,MOZ,,8506
Outputs,Personal healthcare services,deaths,Lower Bound,Namibia,NAM,,616
Outputs,Personal healthcare services,deaths,Lower Bound,Nauru,NRU,,1
Outputs,Personal healthcare services,deaths,Lower Bound,Vanuatu,VUT,,23
Outputs,Personal healthcare services,deaths,Lower Bound,New Zealand,NZL,,4322
Outputs,Personal healthcare services,deaths,Lower Bound,Nigeria,NGA,,41118
Outputs,Personal healthcare services,deaths,Lower Bound,Pakistan,PAK,,37927
Outputs,Personal healthcare services,deaths,Lower Bound,Papua New Guinea,PNG,,1885
Outputs,Personal healthcare services,deaths,Lower Bound,Rwanda,RWA,,3121
Outputs,Personal healthcare services,deaths,Lower Bound,Saint Kitts and Nevis,KNA,,17
Outputs,Personal healthcare services,deaths,Lower Bound,Saint Lucia,LCA,,52
Outputs,Personal healthcare services,deaths,Lower Bound,Saint Vincent and the Grenadines,VCT,,63
Outputs,Personal healthcare services,deaths,Lower Bound,Seychelles,SYC,,26
Outputs,Personal healthcare services,deaths,Lower Bound,Sierra Leone,SLE,,2481
Outputs,Personal healthcare services,deaths,Lower Bound,Singapore,SGP,,5814
Outputs,Personal healthcare services,deaths,Lower Bound,South Africa,ZAF,,29769
Outputs,Personal healthcare services,deaths,Lower Bound,Eswatini,SWZ,,343
Outputs,Personal healthcare services,deaths,Lower Bound,Togo,TGO,,1736
Outputs,Personal healthcare services,deaths,Lower Bound,Tonga,TON,,49
Outputs,Personal healthcare services,deaths,Lower Bound,Trinidad and Tobago,TTO,,582
Outputs,Personal healthcare services,deaths,Lower Bound,Tuvalu,TUV,,4
Outputs,Personal healthcare services,deaths,Lower Bound,Uganda,UGA,,11252
Outputs,Personal healthcare services,deaths,Lower Bound,United Kingdom,GBR,,101129
Outputs,Personal healthcare services,deaths,Lower Bound,United Republic of Tanzania,TZA,,18370
Outputs,Personal healthcare services,deaths,Lower Bound,Samoa,WSM,,92
Outputs,Personal healthcare services,deaths,Lower Bound,Zambia,ZMB,,3242
Outputs,Personal healthcare services,surv_Overall,Lower Bound,Commonwealth,,,0.246853546
Outputs,Personal healthcare services,surv_Overall,Lower Bound,Lower-middle income,,,0.065844263
Outputs,Personal healthcare services,surv_Overall,Lower Bound,Upper-middle income,,,0.236688371
Outputs,Personal healthcare services,surv_Overall,Lower Bound,Carribean and Americas,,,0.610408496
Outputs,Personal healthcare services,surv_Overall,Lower Bound,Pacific,,,0.509183548
Outputs,Personal healthcare services,surv_Overall,Lower Bound,Asia,,,0.088303177
Outputs,Personal healthcare services,surv_Overall,Lower Bound,Africa,,,0.09257447
Outputs,Personal healthcare services,surv_Overall,Lower Bound,Europe,,,0.552137511
Outputs,Personal healthcare services,surv_Overall,Lower Bound,Antigua and Barbuda,ATG,,0.530864198
Outputs,Personal healthcare services,surv_Overall,Lower Bound,Australia,AUS,,0.577369173
Outputs,Personal healthcare services,surv_Overall,Lower Bound,Bahamas,BHS,,0.555787278
Outputs,Personal healthcare services,surv_Overall,Lower Bound,Bangladesh,BGD,,0.052068765
Outputs,Personal healthcare services,surv_Overall,Lower Bound,Barbados,BRB,,0.550096339
Outputs,Personal healthcare services,surv_Overall,Lower Bound,Botswana,BWA,,0.087557604
Outputs,Personal healthcare services,surv_Overall,Lower Bound,Belize,BLZ,,0.24796748
Outputs,Personal healthcare services,surv_Overall,Lower Bound,Solomon Islands,SLB,,0
Outputs,Personal healthcare services,surv_Overall,Lower Bound,Brunei Darussalam,BRN,,0.434470377
Outputs,Personal healthcare services,surv_Overall,Lower Bound,Cameroon,CMR,,0.002506423
Outputs,Personal healthcare services,surv_Overall,Lower Bound,Canada,CAN,,0.610413618
Outputs,Personal healthcare services,surv_Overall,Lower Bound,Sri Lanka,LKA,,0.044386019
Outputs,Personal healthcare services,surv_Overall,Lower Bound,Cyprus,CYP,,0.597608371
Outputs,Personal healthcare services,surv_Overall,Lower Bound,Dominica,DMA,,0.445378151
Outputs,Personal healthcare services,surv_Overall,Lower Bound,Fiji,FJI,,0.06352459
Outputs,Personal healthcare services,surv_Overall,Lower Bound,Gabon,GAB,,0.125230203
Outputs,Personal healthcare services,surv_Overall,Lower Bound,Gambia,GMB,,0
Outputs,Personal healthcare services,surv_Overall,Lower Bound,Ghana,GHA,,0.002133596
Outputs,Personal healthcare services,surv_Overall,Lower Bound,Kiribati,KIR,,0
Outputs,Personal healthcare services,surv_Overall,Lower Bound,Grenada,GRD,,0.438502674
Outputs,Personal healthcare services,surv_Overall,Lower Bound,Guyana,GUY,,0.507494647
Outputs,Personal healthcare services,surv_Overall,Lower Bound,India,IND,,0.069353584
Outputs,Personal healthcare services,surv_Overall,Lower Bound,Jamaica,JAM,,0.500425532
Outputs,Personal healthcare services,surv_Overall,Lower Bound,Kenya,KEN,,0.008214898
Outputs,Personal healthcare services,surv_Overall,Lower Bound,Lesotho,LSO,,0.002373418
Outputs,Personal healthcare services,surv_Overall,Lower Bound,Malawi,MWI,,0.000305306
Outputs,Personal healthcare services,surv_Overall,Lower Bound,Malaysia,MYS,,0.394866948
Outputs,Personal healthcare services,surv_Overall,Lower Bound,Maldives,MDV,,0.199335548
Outputs,Personal healthcare services,surv_Overall,Lower Bound,Malta,MLT,,0.543859649
Outputs,Personal healthcare services,surv_Overall,Lower Bound,Mauritius,MUS,,0.361336516
Outputs,Personal healthcare services,surv_Overall,Lower Bound,Mozambique,MOZ,,0.000372682
Outputs,Personal healthcare services,surv_Overall,Lower Bound,Namibia,NAM,,0.105597964
Outputs,Personal healthcare services,surv_Overall,Lower Bound,Nauru,NRU,,0
Outputs,Personal healthcare services,surv_Overall,Lower Bound,Vanuatu,VUT,,0
Outputs,Personal healthcare services,surv_Overall,Lower Bound,New Zealand,NZL,,0.589829811
Outputs,Personal healthcare services,surv_Overall,Lower Bound,Nigeria,NGA,,0.006145561
Outputs,Personal healthcare services,surv_Overall,Lower Bound,Pakistan,PAK,,0.056815162
Outputs,Personal healthcare services,surv_Overall,Lower Bound,Papua New Guinea,PNG,,0.001790926
Outputs,Personal healthcare services,surv_Overall,Lower Bound,Rwanda,RWA,,0.000221239
Outputs,Personal healthcare services,surv_Overall,Lower Bound,Saint Kitts and Nevis,KNA,,0.523809524
Outputs,Personal healthcare services,surv_Overall,Lower Bound,Saint Lucia,LCA,,0.467741935
Outputs,Personal healthcare services,surv_Overall,Lower Bound,Saint Vincent and the Grenadines,VCT,,0.43255814
Outputs,Personal healthcare services,surv_Overall,Lower Bound,Seychelles,SYC,,0.38028169
Outputs,Personal healthcare services,surv_Overall,Lower Bound,Sierra Leone,SLE,,0
Outputs,Personal healthcare services,surv_Overall,Lower Bound,Singapore,SGP,,0.446588869
Outputs,Personal healthcare services,surv_Overall,Lower Bound,South Africa,ZAF,,0.129667985
Outputs,Personal healthcare services,surv_Overall,Lower Bound,Eswatini,SWZ,,0.003533569
Outputs,Personal healthcare services,surv_Overall,Lower Bound,Togo,TGO,,0.00020141
Outputs,Personal healthcare services,surv_Overall,Lower Bound,Tonga,TON,,0.01910828
Outputs,Personal healthcare services,surv_Overall,Lower Bound,Trinidad and Tobago,TTO,,0.578100471
Outputs,Personal healthcare services,surv_Overall,Lower Bound,Tuvalu,TUV,,0
Outputs,Personal healthcare services,surv_Overall,Lower Bound,Uganda,UGA,,0.00048011
Outputs,Personal healthcare services,surv_Overall,Lower Bound,United Kingdom,GBR,,0.550891894
Outputs,Personal healthcare services,surv_Overall,Lower Bound,United Republic of Tanzania,TZA,,0.000564897
Outputs,Personal healthcare services,surv_Overall,Lower Bound,Samoa,WSM,,0.013605442
