Component,Sub-component,Variable,Measure,Country,ISO Code,Year,Value
Service Delivery,Cancer Treatment,dxCases 0,Lower Bound,Antigua and Barbuda,ATG,2020,0
Service Delivery,Cancer Treatment,dxCases 0,Lower Bound,Australia,AUS,2020,1304
Service Delivery,Cancer Treatment,dxCases 0,Lower Bound,Bahamas,BHS,2020,2
Service Delivery,Cancer Treatment,dxCases 0,Lower Bound,Bangladesh,BGD,2020,11825
Service Delivery,Cancer Treatment,dxCases 0,Lower Bound,Barbados,BRB,2020,0
Service Delivery,Cancer Treatment,dxCases 0,Lower Bound,Botswana,BWA,2020,65
Service Delivery,Cancer Treatment,dxCases 0,Lower Bound,Belize,BLZ,2020,0
Service Delivery,Cancer Treatment,dxCases 0,Lower Bound,Solomon Islands,SLB,2020,0
Service Delivery,Cancer Treatment,dxCases 0,Lower Bound,Brunei Darussalam,BRN,2020,0
Service Delivery,Cancer Treatment,dxCases 0,Lower Bound,Cameroon,CMR,2020,44
Service Delivery,Cancer Treatment,dxCases 0,Lower Bound,Canada,CAN,2020,2058
Service Delivery,Cancer Treatment,dxCases 0,Lower Bound,Sri Lanka,LKA,2020,1643
Service Delivery,Cancer Treatment,dxCases 0,Lower Bound,Cyprus,CYP,2020,7
Service Delivery,Cancer Treatment,dxCases 0,Lower Bound,Dominica,DMA,2020,0
Service Delivery,Cancer Treatment,dxCases 0,Lower Bound,Fiji,FJI,2020,11
Service Delivery,Cancer Treatment,dxCases 0,Lower Bound,Gabon,GAB,2020,3
Service Delivery,Cancer Treatment,dxCases 0,Lower Bound,Gambia,GMB,2020,6
Service Delivery,Cancer Treatment,dxCases 0,Lower Bound,Ghana,GHA,2020,45
Service Delivery,Cancer Treatment,dxCases 0,Lower Bound,Kiribati,KIR,2020,0
Service Delivery,Cancer Treatment,dxCases 0,Lower Bound,Grenada,GRD,2020,0
Service Delivery,Cancer Treatment,dxCases 0,Lower Bound,Guyana,GUY,2020,0
Service Delivery,Cancer Treatment,dxCases 0,Lower Bound,India,IND,2020,57194
Service Delivery,Cancer Treatment,dxCases 0,Lower Bound,Jamaica,JAM,2020,33
Service Delivery,Cancer Treatment,dxCases 0,Lower Bound,Kenya,KEN,2020,2266
Service Delivery,Cancer Treatment,dxCases 0,Lower Bound,Lesotho,LSO,2020,41
Service Delivery,Cancer Treatment,dxCases 0,Lower Bound,Malawi,MWI,2020,1170
Service Delivery,Cancer Treatment,dxCases 0,Lower Bound,Malaysia,MYS,2020,311
Service Delivery,Cancer Treatment,dxCases 0,Lower Bound,Maldives,MDV,2020,0
Service Delivery,Cancer Treatment,dxCases 0,Lower Bound,Malta,MLT,2020,10
Service Delivery,Cancer Treatment,dxCases 0,Lower Bound,Mauritius,MUS,2020,28
Service Delivery,Cancer Treatment,dxCases 0,Lower Bound,Mozambique,MOZ,2020,1008
Service Delivery,Cancer Treatment,dxCases 0,Lower Bound,Namibia,NAM,2020,23
Service Delivery,Cancer Treatment,dxCases 0,Lower Bound,Nauru,NRU,2020,0
Service Delivery,Cancer Treatment,dxCases 0,Lower Bound,Vanuatu,VUT,2020,0
Service Delivery,Cancer Treatment,dxCases 0,Lower Bound,New Zealand,NZL,2020,244
Service Delivery,Cancer Treatment,dxCases 0,Lower Bound,Nigeria,NGA,2020,170
Service Delivery,Cancer Treatment,dxCases 0,Lower Bound,Pakistan,PAK,2020,6820
Service Delivery,Cancer Treatment,dxCases 0,Lower Bound,Papua New Guinea,PNG,2020,94
Service Delivery,Cancer Treatment,dxCases 0,Lower Bound,Rwanda,RWA,2020,56
Service Delivery,Cancer Treatment,dxCases 0,Lower Bound,Saint Kitts and Nevis,KNA,2020,0
Service Delivery,Cancer Treatment,dxCases 0,Lower Bound,Saint Lucia,LCA,2020,0
Service Delivery,Cancer Treatment,dxCases 0,Lower Bound,Saint Vincent and the Grenadines,VCT,2020,0
Service Delivery,Cancer Treatment,dxCases 0,Lower Bound,Seychelles,SYC,2020,3
Service Delivery,Cancer Treatment,dxCases 0,Lower Bound,Sierra Leone,SLE,2020,38
Service Delivery,Cancer Treatment,dxCases 0,Lower Bound,Singapore,SGP,2020,149
Service Delivery,Cancer Treatment,dxCases 0,Lower Bound,South Africa,ZAF,2020,3003
Service Delivery,Cancer Treatment,dxCases 0,Lower Bound,Eswatini,SWZ,2020,5
Service Delivery,Cancer Treatment,dxCases 0,Lower Bound,Togo,TGO,2020,89
Service Delivery,Cancer Treatment,dxCases 0,Lower Bound,Tonga,TON,2020,0
Service Delivery,Cancer Treatment,dxCases 0,Lower Bound,Trinidad and Tobago,TTO,2020,11
Service Delivery,Cancer Treatment,dxCases 0,Lower Bound,Tuvalu,TUV,2020,0
Service Delivery,Cancer Treatment,dxCases 0,Lower Bound,Uganda,UGA,2020,1371
Service Delivery,Cancer Treatment,dxCases 0,Lower Bound,United Kingdom,GBR,2020,9234
Service Delivery,Cancer Treatment,dxCases 0,Lower Bound,United Republic of Tanzania,TZA,2020,2245
Service Delivery,Cancer Treatment,dxCases 0,Lower Bound,Samoa,WSM,2020,0
Service Delivery,Cancer Treatment,dxCases 0,Lower Bound,Zambia,ZMB,2020,291
Service Delivery,Cancer Treatment,dxCases 1,Lower Bound,Antigua and Barbuda,ATG,2021,3
Service Delivery,Cancer Treatment,dxCases 1,Lower Bound,Australia,AUS,2021,1954
Service Delivery,Cancer Treatment,dxCases 1,Lower Bound,Bahamas,BHS,2021,11
Service Delivery,Cancer Treatment,dxCases 1,Lower Bound,Bangladesh,BGD,2021,5136
Service Delivery,Cancer Treatment,dxCases 1,Lower Bound,Barbados,BRB,2021,10
Service Delivery,Cancer Treatment,dxCases 1,Lower Bound,Botswana,BWA,2021,9
Service Delivery,Cancer Treatment,dxCases 1,Lower Bound,Belize,BLZ,2021,4
Service Delivery,Cancer Treatment,dxCases 1,Lower Bound,Solomon Islands,SLB,2021,3
Service Delivery,Cancer Treatment,dxCases 1,Lower Bound,Brunei Darussalam,BRN,2021,28
Service Delivery,Cancer Treatment,dxCases 1,Lower Bound,Cameroon,CMR,2021,206
Service Delivery,Cancer Treatment,dxCases 1,Lower Bound,Canada,CAN,2021,3003
Service Delivery,Cancer Treatment,dxCases 1,Lower Bound,Sri Lanka,LKA,2021,649
Service Delivery,Cancer Treatment,dxCases 1,Lower Bound,Cyprus,CYP,2021,82
Service Delivery,Cancer Treatment,dxCases 1,Lower Bound,Dominica,DMA,2021,2
Service Delivery,Cancer Treatment,dxCases 1,Lower Bound,Fiji,FJI,2021,19
Service Delivery,Cancer Treatment,dxCases 1,Lower Bound,Gabon,GAB,2021,7
Service Delivery,Cancer Treatment,dxCases 1,Lower Bound,Gambia,GMB,2021,8
Service Delivery,Cancer Treatment,dxCases 1,Lower Bound,Ghana,GHA,2021,363
Service Delivery,Cancer Treatment,dxCases 1,Lower Bound,Kiribati,KIR,2021,2
Service Delivery,Cancer Treatment,dxCases 1,Lower Bound,Grenada,GRD,2021,5
Service Delivery,Cancer Treatment,dxCases 1,Lower Bound,Guyana,GUY,2021,10
Service Delivery,Cancer Treatment,dxCases 1,Lower Bound,India,IND,2021,54353
Service Delivery,Cancer Treatment,dxCases 1,Lower Bound,Jamaica,JAM,2021,107
Service Delivery,Cancer Treatment,dxCases 1,Lower Bound,Kenya,KEN,2021,1278
Service Delivery,Cancer Treatment,dxCases 1,Lower Bound,Lesotho,LSO,2021,5
Service Delivery,Cancer Treatment,dxCases 1,Lower Bound,Malawi,MWI,2021,110
Service Delivery,Cancer Treatment,dxCases 1,Lower Bound,Malaysia,MYS,2021,1241
Service Delivery,Cancer Treatment,dxCases 1,Lower Bound,Maldives,MDV,2021,0
Service Delivery,Cancer Treatment,dxCases 1,Lower Bound,Malta,MLT,2021,44
Service Delivery,Cancer Treatment,dxCases 1,Lower Bound,Mauritius,MUS,2021,85
Service Delivery,Cancer Treatment,dxCases 1,Lower Bound,Mozambique,MOZ,2021,38
Service Delivery,Cancer Treatment,dxCases 1,Lower Bound,Namibia,NAM,2021,20
Service Delivery,Cancer Treatment,dxCases 1,Lower Bound,Nauru,NRU,2021,0
Service Delivery,Cancer Treatment,dxCases 1,Lower Bound,Vanuatu,VUT,2021,0
Service Delivery,Cancer Treatment,dxCases 1,Lower Bound,New Zealand,NZL,2021,285
Service Delivery,Cancer Treatment,dxCases 1,Lower Bound,Nigeria,NGA,2021,1600
Service Delivery,Cancer Treatment,dxCases 1,Lower Bound,Pakistan,PAK,2021,4339
Service Delivery,Cancer Treatment,dxCases 1,Lower Bound,Papua New Guinea,PNG,2021,215
Service Delivery,Cancer Treatment,dxCases 1,Lower Bound,Rwanda,RWA,2021,310
Service Delivery,Cancer Treatment,dxCases 1,Lower Bound,Saint Kitts and Nevis,KNA,2021,1
Service Delivery,Cancer Treatment,dxCases 1,Lower Bound,Saint Lucia,LCA,2021,8
Service Delivery,Cancer Treatment,dxCases 1,Lower Bound,Saint Vincent and the Grenadines,VCT,2021,4
Service Delivery,Cancer Treatment,dxCases 1,Lower Bound,Seychelles,SYC,2021,1
Service Delivery,Cancer Treatment,dxCases 1,Lower Bound,Sierra Leone,SLE,2021,179
Service Delivery,Cancer Treatment,dxCases 1,Lower Bound,Singapore,SGP,2021,605
Service Delivery,Cancer Treatment,dxCases 1,Lower Bound,South Africa,ZAF,2021,1518
Service Delivery,Cancer Treatment,dxCases 1,Lower Bound,Eswatini,SWZ,2021,3
Service Delivery,Cancer Treatment,dxCases 1,Lower Bound,Togo,TGO,2021,138
Service Delivery,Cancer Treatment,dxCases 1,Lower Bound,Tonga,TON,2021,3
Service Delivery,Cancer Treatment,dxCases 1,Lower Bound,Trinidad and Tobago,TTO,2021,47
Service Delivery,Cancer Treatment,dxCases 1,Lower Bound,Tuvalu,TUV,2021,0
Service Delivery,Cancer Treatment,dxCases 1,Lower Bound,Uganda,UGA,2021,305
Service Delivery,Cancer Treatment,dxCases 1,Lower Bound,United Kingdom,GBR,2021,5879
