Component,Sub-component,Variable,Measure,Country,ISO Code,Year,Value
Service Delivery,Traditional Cancer Services,ISOCode,Lower Bound,Australia,AUS,2020,0.627446479
Service Delivery,Traditional Cancer Services,ISOCode,Lower Bound,Canada,CAN,2020,0.627577396
Service Delivery,Traditional Cancer Services,ISOCode,Lower Bound,India,IND,2020,0.424643716
Service Delivery,Traditional Cancer Services,ISOCode,Lower Bound,Jamaica,JAM,2020,0.578461762
Service Delivery,Traditional Cancer Services,ISOCode,Lower Bound,Malaysia,MYS,2020,0.473054493
Service Delivery,Traditional Cancer Services,ISOCode,Lower Bound,New Zealand,NZL,2020,0.644549133
Service Delivery,Traditional Cancer Services,ISOCode,Lower Bound,Pakistan,PAK,2020,0.3992502
Service Delivery,Traditional Cancer Services,ISOCode,Lower Bound,Singapore,SGP,2020,0.523562263
Service Delivery,Traditional Cancer Services,ISOCode,Lower Bound,South Africa,ZAF,2020,0.487472446
Service Delivery,Traditional Cancer Services,ISOCode,Lower Bound,United Kingdom,GBR,2020,0.569717759
Service Delivery,Traditional Cancer Services,deaths,Lower Bound,Australia,AUS,2020,0.627446479
Service Delivery,Traditional Cancer Services,deaths,Lower Bound,Canada,CAN,2020,0.627577396
Service Delivery,Traditional Cancer Services,deaths,Lower Bound,India,IND,2020,0.424643716
Service Delivery,Traditional Cancer Services,deaths,Lower Bound,Jamaica,JAM,2020,0.578461762
Service Delivery,Traditional Cancer Services,deaths,Lower Bound,Malaysia,MYS,2020,0.473054493
Service Delivery,Traditional Cancer Services,deaths,Lower Bound,New Zealand,NZL,2020,0.644549133
Service Delivery,Traditional Cancer Services,deaths,Lower Bound,Pakistan,PAK,2020,0.3992502
Service Delivery,Traditional Cancer Services,deaths,Lower Bound,Singapore,SGP,2020,0.523562263
Service Delivery,Traditional Cancer Services,deaths,Lower Bound,South Africa,ZAF,2020,0.487472446
Service Delivery,Traditional Cancer Services,deaths,Lower Bound,United Kingdom,GBR,2020,0.569717759
Service Delivery,Traditional Cancer Services,surv_Overall,Lower Bound,Australia,AUS,2020,0.627446479
Service Delivery,Traditional Cancer Services,surv_Overall,Lower Bound,Canada,CAN,2020,0.627577396
Service Delivery,Traditional Cancer Services,surv_Overall,Lower Bound,India,IND,2020,0.424643716
