Component,Sub-component,Variable,Measure,Country,ISO Code,Year,Value
Outputs,Healthcare services,Access to treatment,Lower Bound,Antigua and Barbuda,ATG,2020,37
Outputs,Healthcare services,Access to treatment,Lower Bound,Australia,AUS,2020,24410
Outputs,Healthcare services,Access to treatment,Lower Bound,Bahamas,BHS,2020,93
Outputs,Healthcare services,Access to treatment,Lower Bound,Bangladesh,BGD,2020,34843
Outputs,Healthcare services,Access to treatment,Lower Bound,Barbados,BRB,2020,137
Outputs,Healthcare services,Access to treatment,Lower Bound,Botswana,BWA,2020,355
Outputs,Healthcare services,Access to treatment,Lower Bound,Belize,BLZ,2020,51
Outputs,Healthcare services,Access to treatment,Lower Bound,Solomon Islands,SLB,2020,91
Outputs,Healthcare services,Access to treatment,Lower Bound,Brunei Darussalam,BRN,2020,172
Outputs,Healthcare services,Access to treatment,Lower Bound,Cameroon,CMR,2020,4632
Outputs,Healthcare services,Access to treatment,Lower Bound,Canada,CAN,2020,41693
Outputs,Healthcare services,Access to treatment,Lower Bound,Sri Lanka,LKA,2020,6679
Outputs,Healthcare services,Access to treatment,Lower Bound,Cyprus,CYP,2020,794
Outputs,Healthcare services,Access to treatment,Lower Bound,Dominica,DMA,2020,34
Outputs,Healthcare services,Access to treatment,Lower Bound,Fiji,FJI,2020,335
Outputs,Healthcare services,Access to treatment,Lower Bound,Gabon,GAB,2020,315
Outputs,Healthcare services,Access to treatment,Lower Bound,Gambia,GMB,2020,470
Outputs,Healthcare services,Access to treatment,Lower Bound,Ghana,GHA,2020,6790
Outputs,Healthcare services,Access to treatment,Lower Bound,Kiribati,KIR,2020,48
Outputs,Healthcare services,Access to treatment,Lower Bound,Grenada,GRD,2020,61
Outputs,Healthcare services,Access to treatment,Lower Bound,Guyana,GUY,2020,142
Outputs,Healthcare services,Access to treatment,Lower Bound,India,IND,2020,320107
Outputs,Healthcare services,Access to treatment,Lower Bound,Jamaica,JAM,2020,1200
Outputs,Healthcare services,Access to treatment,Lower Bound,Kenya,KEN,2020,11154
Outputs,Healthcare services,Access to treatment,Lower Bound,Lesotho,LSO,2020,451
Outputs,Healthcare services,Access to treatment,Lower Bound,Malawi,MWI,2020,4556
Outputs,Healthcare services,Access to treatment,Lower Bound,Malaysia,MYS,2020,12649
Outputs,Healthcare services,Access to treatment,Lower Bound,Maldives,MDV,2020,90
Outputs,Healthcare services,Access to treatment,Lower Bound,Malta,MLT,2020,430
Outputs,Healthcare services,Access to treatment,Lower Bound,Mauritius,MUS,2020,634
Outputs,Healthcare services,Access to treatment,Lower Bound,Mozambique,MOZ,2020,6790
Outputs,Healthcare services,Access to treatment,Lower Bound,Namibia,NAM,2020,535
Outputs,Healthcare services,Access to treatment,Lower Bound,Nauru,NRU,2020,1
Outputs,Healthcare services,Access to treatment,Lower Bound,Vanuatu,VUT,2020,22
Outputs,Healthcare services,Access to treatment,Lower Bound,New Zealand,NZL,2020,4213
Outputs,Healthcare services,Access to treatment,Lower Bound,Nigeria,NGA,2020,31837
Outputs,Healthcare services,Access to treatment,Lower Bound,Pakistan,PAK,2020,34468
Outputs,Healthcare services,Access to treatment,Lower Bound,Papua New Guinea,PNG,2020,1685
Outputs,Healthcare services,Access to treatment,Lower Bound,Rwanda,RWA,2020,2660
Outputs,Healthcare services,Access to treatment,Lower Bound,Saint Kitts and Nevis,KNA,2020,16
Outputs,Healthcare services,Access to treatment,Lower Bound,Saint Lucia,LCA,2020,49
Outputs,Healthcare services,Access to treatment,Lower Bound,Saint Vincent and the Grenadines,VCT,2020,61
Outputs,Healthcare services,Access to treatment,Lower Bound,Seychelles,SYC,2020,26
Outputs,Healthcare services,Access to treatment,Lower Bound,Sierra Leone,SLE,2020,2031
Outputs,Healthcare services,Access to treatment,Lower Bound,Singapore,SGP,2020,5538
Outputs,Healthcare services,Access to treatment,Lower Bound,South Africa,ZAF,2020,27150
Outputs,Healthcare services,Access to treatment,Lower Bound,Eswatini,SWZ,2020,295
Outputs,Healthcare services,Access to treatment,Lower Bound,Togo,TGO,2020,1420
Outputs,Healthcare services,Access to treatment,Lower Bound,Tonga,TON,2020,44
Outputs,Healthcare services,Access to treatment,Lower Bound,Trinidad and Tobago,TTO,2020,576
Outputs,Healthcare services,Access to treatment,Lower Bound,Tuvalu,TUV,2020,3
Outputs,Healthcare services,Access to treatment,Lower Bound,Uganda,UGA,2020,9155
Outputs,Healthcare services,Access to treatment,Lower Bound,United Kingdom,GBR,2020,98326
Outputs,Healthcare services,Access to treatment,Lower Bound,United Republic of Tanzania,TZA,2020,15244
Outputs,Healthcare services,Access to treatment,Lower Bound,Samoa,WSM,2020,80
Outputs,Healthcare services,Access to treatment,Lower Bound,Zambia,ZMB,2020,2828
Outputs,Healthcare services,Access to treatment,Mean,Pacific,,2020,41426.752
Outputs,Healthcare services,Access to treatment,Mean,Antigua and Barbuda,ATG,2020,56.301
Outputs,Healthcare services,Access to treatment,Mean,Australia,AUS,2020,27835.942
Outputs,Healthcare services,Access to treatment,Mean,Bahamas,BHS,2020,222.098
Outputs,Healthcare services,Access to treatment,Mean,Bangladesh,BGD,2020,56655.693
Outputs,Healthcare services,Access to treatment,Mean,Barbados,BRB,2020,285.276
Outputs,Healthcare services,Access to treatment,Mean,Botswana,BWA,2020,640.562
Outputs,Healthcare services,Access to treatment,Mean,Belize,BLZ,2020,130.762
